restaurant_id,restaurant_name,city,area,cuisine_type,tier,avg_rating,partner_since
R0044,Crispy Palace,Dhaka,Dhanmondi,Pizza,Standard,3.8,2022-08-19
R0045,Star Hut,Dhaka,Mohammadpur,Burger,Standard,3.8,2022-11-23
R0046,Fresh Biryani,Dhaka,Farmgate,Biryani & Kebab,Budget,3.2,2022-08-29
R0047,Haji Corner,Dhaka,Banani,Desserts,Premium,4.9,2022-02-08
R0048,Sultan's Corner,Dhaka,Khilgaon,Pizza,Budget,3.2,2022-03-02
R0049,Meghna Dhaba,Dhaka,Farmgate,Burger,Standard,3.8,2022-12-20
R0050,Sylheti Hut,Dhaka,Gulshan,Desserts,Standard,3.7,2024-03-02
R0051,Sultan's Dhaba,Khulna,Sonadanga,Thai,Standard,4.1,2022-10-05
R0052,Padma Corner,Dhaka,Mohammadpur,Indian,Premium,4.4,2024-03-05
R0053,Golden Bhai,Rajshahi,Kazla,Bangladeshi,Budget,3.0,2024-03-18
R0054,Golden House,Chittagong,Halishahar,Bangladeshi,Standard,3.9,2023-05-28
R0055,Bengal Palace,Chittagong,Agrabad,Chinese,Standard,3.8,2023-04-26
R0056,Jamuna Cafe,Dhaka,Uttara,Biryani & Kebab,Standard,4.5,2022-09-28
R0057,Bengal Dhaba,Dhaka,Motijheel,Pizza,Standard,3.6,2022-11-23
R0058,Spicy Express,Dhaka,Old Dhaka,Chinese,Standard,3.8,2022-09-21
R0059,Chittagong Cafe,Dhaka,Khilgaon,Chinese,Standard,4.0,2023-04-28
R0060,Royal Express,Dhaka,Old Dhaka,Fast Food,Budget,3.6,2023-10-06
R0061,Tasty Corner,Dhaka,Wari,Chinese,Premium,4.1,2023-01-15
R0062,Chittagong Kitchen,Sylhet,Zindabazar,Indian,Standard,3.3,2024-03-15
R0063,Silver Kitchen,Dhaka,Shantinagar,Pizza,Standard,4.5,2023-12-23
R0064,Spicy Corner,Khulna,Khan Jahan Ali Road,Fast Food,Standard,4.0,2024-05-01
R0065,Sylheti Hotel,Dhaka,Farmgate,Fast Food,Budget,3.4,2023-01-20
R0066,Royal Biryani,Dhaka,Uttara,Bangladeshi,Standard,4.6,2023-03-20
R0067,Nawabi Kitchen,Dhaka,Shantinagar,Fast Food,Standard,4.1,2022-12-26
R0068,Dhaka Diner,Dhaka,Mohammadpur,Fast Food,Standard,4.2,2023-10-15
R0069,Crispy Corner,Chittagong,Halishahar,Bangladeshi,Premium,4.1,2024-01-11
R0070,Fresh Restaurant,Sylhet,Bandarbazar,Fast Food,Standard,4.5,2024-01-29
R0071,Jamuna Biryani,Dhaka,Dhanmondi,Biryani & Kebab,Budget,4.4,2022-09-14
R0072,Crispy Cafe,Dhaka,Shantinagar,Biryani & Kebab,Premium,3.9,2022-02-12
R0073,Star Dhaba,Dhaka,Farmgate,Fast Food,Standard,3.7,2023-08-12
R0074,Golden Dhaba,Sylhet,Amberkhana,Indian,Standard,4.1,2022-05-08
R0075,Meghna Restaurant,Chittagong,Agrabad,Coffee & Bakery,Budget,3.2,2022-04-17
R0076,Fresh Kitchen,Khulna,Daulatpur,Pizza,Premium,3.9,2023-01-06
R0077,Silver Biryani,Chittagong,Panchlaish,Thai,Budget,3.7,2023-02-03
R0078,Haji Dhaba,Chittagong,Agrabad,Indian,Standard,4.4,2022-06-17
R0079,Dhaka House,Rajshahi,Motihar,Biryani & Kebab,Premium,4.5,2023-01-13
R0080,Crispy Hotel,Dhaka,Gulshan,Indian,Standard,3.3,2022-03-05
R0081,Padma Bhai,Dhaka,Mohammadpur,Bangladeshi,Budget,4.2,2023-10-15
R0082,Nawabi Corner,Chittagong,Chawkbazar,Biryani & Kebab,Standard,4.5,2022-10-01
R0083,Tasty Express,Khulna,Sonadanga,Fast Food,Budget,3.2,2023-11-08
R0084,Silver Garden,Dhaka,Shantinagar,Bangladeshi,Standard,3.8,2023-08-12
R0085,Dhaka Hut,Dhaka,Mohammadpur,Bangladeshi,Standard,4.4,2023-02-06
R0086,Tasty Cafe,Dhaka,Dhanmondi,Fast Food,Standard,3.6,2024-02-02
R0087,Crispy Hut,Dhaka,Mirpur,Bangladeshi,Standard,3.3,2024-01-06
R0088,Sylheti Dhaba,Dhaka,Mohammadpur,Chinese,Standard,5.0,2023-01-26
R0089,Haji Restaurant,Chittagong,Nasirabad,Bangladeshi,Standard,3.9,2022-12-03
R0090,Sultan's Diner,Chittagong,Panchlaish,Biryani & Kebab,Standard,4.5,2022-10-29
R0091,Hot Kitchen,Dhaka,Mirpur,Bangladeshi,Premium,4.7,2023-03-03
R0092,Kacchi Garden,Khulna,Khan Jahan Ali Road,Bangladeshi,Standard,4.1,2023-03-18
R0093,Sylheti Diner,Dhaka,Banani,Desserts,Premium,4.8,2024-01-13
R0094,Nawabi Hotel,Dhaka,Khilgaon,Bangladeshi,Budget,3.7,2024-05-24
R0095,Golden Garden,Dhaka,Uttara,Bangladeshi,Budget,2.9,2022-12-17
R0096,Fresh Bhai,Dhaka,Tejgaon,Coffee & Bakery,Budget,4.0,2022-06-04
R0097,Royal Kitchen,Dhaka,Uttara,Bangladeshi,Premium,4.4,2023-01-08
R0098,Star Restaurant,Dhaka,Tejgaon,Fast Food,Standard,4.0,2023-03-24
R0099,Dhaka Corner,Chittagong,Khulshi,Bangladeshi,Standard,3.5,2022-06-28
R0100,Crispy Dhaba,Sylhet,Zindabazar,Bangladeshi,Premium,3.8,2023-11-14
R0101,Hot Express,Chittagong,Halishahar,Biryani & Kebab,Premium,4.8,2023-11-12
R0102,Crispy Garden,Dhaka,Mirpur,Bangladeshi,Budget,3.6,2022-02-02
R0103,Haji Express,Chittagong,Nasirabad,Fast Food,Standard,4.2,2024-03-17
R0104,Meghna Corner,Dhaka,Khilgaon,Pizza,Standard,3.9,2023-06-02
R0105,Tasty Dhaba,Dhaka,Banani,Biryani & Kebab,Budget,3.1,2023-09-15
R0106,Jamuna Diner,Dhaka,Mohammadpur,Bangladeshi,Budget,3.4,2024-03-10
R0107,Meghna Garden,Dhaka,Farmgate,Fast Food,Standard,4.0,2024-02-14
R0108,Tasty House,Dhaka,Shantinagar,Biryani & Kebab,Budget,3.3,2022-02-14
R0109,Kacchi Palace,Dhaka,Uttara,Chinese,Premium,5.0,2023-09-26
R0110,Nawabi Express,Dhaka,Gulshan,Chinese,Standard,4.0,2023-03-30
R0111,Tasty Restaurant,Dhaka,Farmgate,Fast Food,Standard,3.4,2023-12-11
R0112,Royal Dhaba,Dhaka,Shantinagar,Bangladeshi,Standard,4.5,2023-10-07
R0113,Bengal Biryani,Chittagong,Nasirabad,Pizza,Budget,3.0,2023-04-09
R0114,Meghna Hut,Sylhet,Bandarbazar,Fast Food,Budget,3.3,2024-05-07
R0115,Dhaka Biryani,Dhaka,Shantinagar,Biryani & Kebab,Standard,4.1,2023-01-06
R0116,Jamuna Corner,Dhaka,Wari,Fast Food,Standard,4.6,2022-08-25
R0117,Silver House,Dhaka,Motijheel,Desserts,Budget,3.7,2024-03-28
R0118,Royal Diner,Sylhet,Subid Bazar,Bangladeshi,Budget,3.5,2023-05-26
R0119,Tasty Diner,Sylhet,Bandarbazar,Thai,Premium,4.8,2024-04-20
R0120,Sultan's Express,Rajshahi,Kazla,Indian,Standard,4.2,2022-09-16
R0121,Golden Kitchen,Rajshahi,Shaheb Bazar,Biryani & Kebab,Standard,3.4,2023-01-15
R0122,Jamuna Garden,Dhaka,Gulshan,Fast Food,Standard,3.8,2023-01-10
R0123,Sylheti Express,Dhaka,Uttara,Fast Food,Standard,4.3,2023-02-01
R0124,Golden Biryani,Dhaka,Motijheel,Bangladeshi,Standard,3.8,2023-01-24
R0125,Bengal Bhai,Dhaka,Bashundhara,Pizza,Standard,3.5,2023-09-07
R0126,Bengal Hotel,Chittagong,Agrabad,Burger,Standard,3.8,2022-12-24
R0127,Sylheti Cafe,Dhaka,Khilgaon,Bangladeshi,Standard,4.4,2022-08-01
R0128,Meghna Biryani,Dhaka,Old Dhaka,Bangladeshi,Premium,4.1,2022-07-24
R0129,Dhaka Kitchen,Dhaka,Wari,Biryani & Kebab,Budget,3.2,2024-04-17
R0130,Padma Hotel,Dhaka,Banani,Bangladeshi,Standard,4.3,2022-06-28
R0131,Hot Hut,Dhaka,Lalmatia,Desserts,Budget,3.9,2022-05-21
R0132,Sylheti Garden,Dhaka,Khilgaon,Indian,Budget,3.5,2023-08-15
R0133,Tasty Bhai,Khulna,Khalishpur,Chinese,Standard,3.6,2024-05-22
R0134,Bengal Cafe,Chittagong,Khulshi,Burger,Premium,4.1,2023-09-27
R0135,Jamuna Express,Dhaka,Dhanmondi,Biryani & Kebab,Standard,4.0,2023-07-31
R0136,Golden Cafe,Dhaka,Wari,Indian,Budget,2.7,2022-06-03
R0137,Silver Express,Dhaka,Mirpur,Bangladeshi,Budget,3.9,2023-01-02
R0138,Jamuna Dhaba,Dhaka,Khilgaon,Biryani & Kebab,Budget,3.8,2022-10-22
R0139,Star Hotel,Khulna,Khan Jahan Ali Road,Bangladeshi,Standard,4.3,2023-06-03
R0140,Crispy Restaurant,Dhaka,Lalmatia,Fast Food,Standard,4.3,2022-12-28
R0141,Haji House,Dhaka,Shantinagar,Fast Food,Premium,4.0,2022-02-10
R0142,Sultan's Biryani,Dhaka,Dhanmondi,Bangladeshi,Standard,4.5,2022-04-09
R0143,Star Biryani,Chittagong,Panchlaish,Fast Food,Standard,3.9,2024-03-21
R0144,Royal Hut,Khulna,Khan Jahan Ali Road,Biryani & Kebab,Premium,4.3,2022-08-19
R0145,Fresh Palace,Dhaka,Khilgaon,Fast Food,Standard,3.9,2023-04-04
R0146,Hot Biryani,Chittagong,Chawkbazar,Chinese,Standard,3.9,2022-12-01
R0147,Silver Corner,Rajshahi,Motihar,Biryani & Kebab,Standard,3.9,2023-10-09
R0148,Royal House,Dhaka,Banani,Chinese,Premium,4.7,2023-11-02
R0149,Star Garden,Chittagong,Chawkbazar,Bangladeshi,Standard,3.8,2024-05-22
R0150,Fresh Dhaba,Sylhet,Bandarbazar,Pizza,Premium,4.1,2023-07-01
R0151,Chittagong Diner,Dhaka,Banani,Chinese,Standard,3.8,2022-06-18
R0152,Fresh Garden,Dhaka,Uttara,Pizza,Premium,4.3,2024-05-14
R0153,Sylheti Biryani,Rajshahi,Boalia,Bangladeshi,Budget,3.4,2023-04-25
R0154,Nawabi Biryani,Dhaka,Khilgaon,Biryani & Kebab,Premium,4.6,2022-02-17
R0155,Padma Kitchen,Dhaka,Bashundhara,Biryani & Kebab,Standard,3.6,2023-07-29
R0156,Silver Cafe,Dhaka,Shantinagar,Bangladeshi,Standard,4.7,2023-10-21
R0157,Crispy Express,Dhaka,Mirpur,Bangladeshi,Standard,4.3,2024-03-29
R0158,Dhaka Hotel,Dhaka,Dhanmondi,Bangladeshi,Budget,3.6,2022-08-02
R0159,Chittagong Palace,Dhaka,Gulshan,Bangladeshi,Budget,3.5,2024-05-17
R0160,Padma Garden,Sylhet,Zindabazar,Biryani & Kebab,Standard,3.9,2023-10-29
R0161,Jamuna Bhai,Chittagong,Khulshi,Biryani & Kebab,Premium,4.8,2023-05-20
R0162,Jamuna Palace,Chittagong,Nasirabad,Bangladeshi,Standard,3.9,2022-05-03
R0163,Spicy Cafe,Dhaka,Mohammadpur,Bangladeshi,Standard,4.2,2022-06-27
R0164,Nawabi Restaurant,Dhaka,Farmgate,Chinese,Premium,5.0,2022-06-09
R0165,Bengal Express,Dhaka,Tejgaon,Bangladeshi,Premium,4.2,2023-12-04
R0166,Star Express,Chittagong,Chawkbazar,Bangladeshi,Standard,4.2,2024-06-07
R0167,Sultan's Hotel,Dhaka,Old Dhaka,Fast Food,Budget,3.9,2023-06-18
R0168,Spicy Garden,Dhaka,Wari,Biryani & Kebab,Standard,4.3,2022-09-04
R0169,Padma Cafe,Rajshahi,Motihar,Biryani & Kebab,Budget,3.4,2022-03-23
R0170,Fresh Diner,Dhaka,Khilgaon,Biryani & Kebab,Standard,3.9,2022-08-22
R0171,Jamuna Kitchen,Dhaka,Banani,Burger,Standard,3.6,2022-05-12
R0172,Meghna Bhai,Sylhet,Uposhohor,Bangladeshi,Standard,4.4,2023-07-18
R0173,Nawabi House,Khulna,Sonadanga,Thai,Budget,4.0,2023-04-05
R0174,Fresh Corner,Sylhet,Uposhohor,Bangladeshi,Premium,4.8,2022-08-28
R0175,Haji Biryani,Sylhet,Uposhohor,Pizza,Premium,4.0,2023-11-11
R0176,Hot Restaurant,Khulna,Sonadanga,Indian,Budget,3.9,2023-04-26
R0177,Silver Hotel,Chittagong,Chawkbazar,Bangladeshi,Budget,3.1,2023-03-14
R0178,Nawabi Diner,Dhaka,Uttara,Pizza,Premium,4.4,2023-01-24
R0179,Spicy Diner,Dhaka,Mohammadpur,Fast Food,Standard,4.0,2022-07-13
R0180,Kacchi Corner,Rajshahi,Kazla,Pizza,Standard,3.7,2022-03-24
R0181,Kacchi Hut,Dhaka,Bashundhara,Coffee & Bakery,Budget,3.1,2022-06-03
R0182,Tasty Biryani,Dhaka,Mirpur,Burger,Budget,3.0,2022-08-04
R0183,Royal Bhai,Dhaka,Tejgaon,Bangladeshi,Standard,4.5,2023-02-02
R0184,Bengal Restaurant,Dhaka,Bashundhara,Bangladeshi,Premium,5.0,2023-04-13
R0185,Tasty Garden,Dhaka,Khilgaon,Indian,Premium,4.1,2024-04-12
R0186,Haji Cafe,Dhaka,Bashundhara,Bangladeshi,Standard,4.0,2022-05-13
R0187,Spicy Palace,Dhaka,Motijheel,Fast Food,Standard,3.5,2022-02-01
R0188,Meghna Hotel,Khulna,Sonadanga,Indian,Standard,4.1,2022-04-15
R0189,Haji Diner,Chittagong,Halishahar,Bangladeshi,Budget,3.3,2023-12-23
R0190,Silver Bhai,Dhaka,Wari,Indian,Standard,4.0,2023-04-01
R0191,Sylheti Bhai,Chittagong,Agrabad,Biryani & Kebab,Standard,4.1,2022-10-24
R0192,Tasty Hut,Chittagong,Nasirabad,Bangladeshi,Standard,3.9,2024-03-17
R0193,Bengal Hut,Dhaka,Bashundhara,Bangladeshi,Premium,4.2,2022-06-09
R0194,Spicy Hotel,Dhaka,Bashundhara,Bangladeshi,Budget,3.2,2022-09-06
R0195,Chittagong Hotel,Dhaka,Tejgaon,Chinese,Standard,4.1,2023-07-24
R0196,Meghna Express,Dhaka,Old Dhaka,Thai,Standard,4.0,2022-04-30
R0197,Sultan's Bhai,Dhaka,Bashundhara,Biryani & Kebab,Standard,3.7,2022-10-17
R0198,Dhaka Garden,Dhaka,Mirpur,Chinese,Standard,4.3,2023-03-20
R0199,Royal Palace,Khulna,Daulatpur,Bangladeshi,Standard,3.9,2024-04-22
R0200,Meghna Palace,Chittagong,Halishahar,Chinese,Premium,4.6,2022-12-15
R0201,Fresh House,Dhaka,Banani,Bangladeshi,Standard,4.6,2022-04-13
R0202,Crispy House,Dhaka,Lalmatia,Biryani & Kebab,Budget,3.5,2022-07-14
R0203,Spicy Hut,Chittagong,Khulshi,Fast Food,Budget,3.6,2022-07-19
R0204,Star Diner,Dhaka,Banani,Biryani & Kebab,Standard,3.5,2022-07-12
R0205,Chittagong Hut,Dhaka,Banani,Biryani & Kebab,Budget,3.7,2024-03-17
R0206,Hot House,Chittagong,Panchlaish,Bangladeshi,Standard,3.8,2024-02-20
R0207,Crispy Bhai,Dhaka,Tejgaon,Bangladeshi,Premium,5.0,2022-02-14
R0208,Kacchi Express,Dhaka,Uttara,Indian,Standard,3.8,2024-04-27
R0209,Padma Biryani,Khulna,Khan Jahan Ali Road,Bangladeshi,Budget,3.7,2023-06-21
R0210,Padma Restaurant,Dhaka,Mohammadpur,Bangladeshi,Standard,4.2,2022-09-05
R0211,Royal Corner,Dhaka,Old Dhaka,Burger,Standard,4.0,2024-02-25
R0212,Nawabi Dhaba,Dhaka,Mirpur,Fast Food,Budget,4.0,2023-07-23
R0213,Fresh Cafe,Dhaka,Bashundhara,Bangladeshi,Premium,4.7,2022-07-04
R0214,Spicy Bhai,Khulna,Sonadanga,Indian,Premium,4.6,2022-03-12
R0215,Padma Palace,Chittagong,Chawkbazar,Fast Food,Standard,3.9,2024-03-02
R0216,Tasty Kitchen,Sylhet,Amberkhana,Biryani & Kebab,Standard,3.7,2024-03-25
R0217,Chittagong Bhai,Dhaka,Farmgate,Biryani & Kebab,Budget,3.6,2024-06-08
R0218,Fresh Express,Dhaka,Banani,Biryani & Kebab,Standard,4.0,2022-04-07
R0219,Tasty Palace,Dhaka,Motijheel,Biryani & Kebab,Standard,4.4,2023-08-09
R0220,Spicy Restaurant,Dhaka,Mohammadpur,Chinese,Premium,5.0,2022-12-28
R0221,Nawabi Bhai,Dhaka,Wari,Fast Food,Budget,3.8,2024-05-04
R0222,Royal Cafe,Rajshahi,Motihar,Fast Food,Standard,4.4,2024-06-10
R0223,Haji Bhai,Chittagong,Chawkbazar,Thai,Budget,3.7,2023-09-09
R0224,Kacchi Dhaba,Sylhet,Amberkhana,Burger,Standard,4.5,2024-06-01
R0225,Hot Palace,Rajshahi,Boalia,Biryani & Kebab,Budget,3.8,2024-02-07
R0226,Jamuna Restaurant,Dhaka,Lalmatia,Bangladeshi,Budget,3.8,2023-11-25
R0227,Bengal Kitchen,Khulna,Sonadanga,Fast Food,Standard,4.6,2023-09-22
R0228,Meghna House,Chittagong,Halishahar,Bangladeshi,Premium,4.1,2024-05-26
R0229,Haji Hut,Sylhet,Uposhohor,Bangladeshi,Standard,3.8,2024-03-19
R0230,Nawabi Palace,Dhaka,Shantinagar,Fast Food,Standard,3.5,2023-10-08
R0231,Kacchi Biryani,Dhaka,Old Dhaka,Chinese,Standard,4.3,2022-12-05
R0232,Golden Hut,Dhaka,Dhanmondi,Thai,Standard,4.1,2023-08-18
R0233,Kacchi Hotel,Rajshahi,Motihar,Biryani & Kebab,Budget,3.0,2022-02-05
R0234,Chittagong Express,Dhaka,Bashundhara,Pizza,Premium,4.5,2023-06-22
R0235,Kacchi Restaurant,Dhaka,Shantinagar,Indian,Premium,4.1,2022-11-17
R0236,Star Corner,Chittagong,Chawkbazar,Bangladeshi,Standard,3.8,2023-11-13
R0237,Hot Garden,Dhaka,Farmgate,Indian,Standard,3.6,2022-09-30
R0238,Golden Corner,Khulna,Khan Jahan Ali Road,Indian,Standard,4.2,2022-08-20
R0239,Spicy Kitchen,Dhaka,Motijheel,Fast Food,Standard,4.1,2023-08-27
R0240,Dhaka Bhai,Rajshahi,Boalia,Bangladeshi,Standard,4.5,2023-02-22
R0241,Bengal Corner,Dhaka,Dhanmondi,Burger,Standard,3.8,2023-12-26
R0242,Crispy Diner,Dhaka,Old Dhaka,Fast Food,Standard,4.2,2022-12-10
R0243,Meghna Kitchen,Dhaka,Motijheel,Thai,Standard,3.2,2022-08-06
R0244,Chittagong House,Dhaka,Khilgaon,Thai,Premium,4.5,2022-08-23
R0245,Kacchi Bhai,Dhaka,Mohammadpur,Bangladeshi,Standard,3.7,2024-04-02
R0246,Sultan's Palace,Dhaka,Wari,Chinese,Standard,3.9,2022-08-20
R0247,Jamuna House,Dhaka,Mirpur,Pizza,Budget,3.2,2023-08-03
R0248,Jamuna Hotel,Chittagong,Nasirabad,Chinese,Budget,3.6,2022-08-06
R0249,Fresh Hotel,Chittagong,Agrabad,Fast Food,Budget,3.3,2023-09-09
R0250,Sylheti House,Chittagong,Khulshi,Fast Food,Premium,4.8,2022-07-25
R0251,Royal Garden,Dhaka,Motijheel,Fast Food,Budget,3.9,2023-05-19
R0252,Padma Express,Chittagong,Halishahar,Burger,Standard,4.0,2023-06-04
R0253,Dhaka Express,Sylhet,Uposhohor,Bangladeshi,Premium,4.2,2023-05-04
R0254,Bengal Diner,Chittagong,Halishahar,Fast Food,Budget,3.7,2022-04-18
R0255,Nawabi Cafe,Chittagong,Khulshi,Chinese,Standard,3.7,2023-04-16
R0256,Spicy Biryani,Chittagong,Agrabad,Biryani & Kebab,Standard,3.5,2024-03-16
R0257,Sultan's Cafe,Chittagong,GEC Circle,Biryani & Kebab,Budget,3.5,2022-09-13
R0258,Haji Kitchen,Dhaka,Mohammadpur,Fast Food,Standard,3.6,2023-11-03
R0259,Dhaka Restaurant,Chittagong,GEC Circle,Biryani & Kebab,Budget,3.5,2023-03-09
R0260,Meghna Diner,Dhaka,Farmgate,Fast Food,Standard,3.9,2023-12-13
R0261,Bengal Kitchen 261,Sylhet,Amberkhana,Burger,Standard,4.1,2023-12-12
R0262,Hot Diner,Dhaka,Tejgaon,Bangladeshi,Standard,3.6,2023-07-24
R0263,Jamuna Express 263,Chittagong,Chawkbazar,Chinese,Standard,4.0,2022-08-09
R0264,Nawabi Garden,Dhaka,Khilgaon,Indian,Budget,3.9,2024-01-24
R0265,Golden Restaurant,Rajshahi,Shaheb Bazar,Bangladeshi,Budget,3.3,2022-07-24
R0266,Meghna Cafe,Sylhet,Zindabazar,Chinese,Premium,5.0,2022-09-15
R0267,Chittagong Corner,Chittagong,Halishahar,Chinese,Standard,4.4,2022-05-22
R0268,Sultan's House,Dhaka,Uttara,Fast Food,Standard,4.0,2023-05-02
R0269,Kacchi Diner,Dhaka,Bashundhara,Indian,Standard,3.8,2023-04-14
R0270,Chittagong Bhai 270,Dhaka,Khilgaon,Bangladeshi,Premium,4.3,2023-01-15
R0271,Kacchi Kitchen,Dhaka,Old Dhaka,Fast Food,Budget,2.9,2024-02-11
R0272,Crispy Kitchen,Chittagong,GEC Circle,Biryani & Kebab,Premium,4.3,2023-07-26
R0273,Star Palace,Chittagong,Panchlaish,Chinese,Standard,4.0,2023-10-14
R0274,Sylheti House 274,Dhaka,Farmgate,Bangladeshi,Budget,4.3,2022-03-10
R0275,Padma Hut,Rajshahi,Motihar,Chinese,Standard,4.2,2023-12-05
R0276,Star Cafe,Chittagong,Panchlaish,Bangladeshi,Standard,4.1,2023-04-10
R0277,Royal Dhaba 277,Khulna,Khalishpur,Thai,Premium,4.6,2023-08-18
R0278,Bengal Kitchen 278,Dhaka,Khilgaon,Coffee & Bakery,Premium,5.0,2024-02-01
R0279,Golden Hotel,Dhaka,Tejgaon,Bangladeshi,Standard,4.4,2024-01-27
R0280,Haji Garden,Chittagong,Panchlaish,Indian,Budget,4.3,2023-05-10
R0281,Fresh Garden 281,Khulna,Daulatpur,Chinese,Standard,3.5,2024-01-20
R0282,Star Kitchen 282,Dhaka,Bashundhara,Bangladeshi,Premium,4.6,2022-05-31
R0283,Spicy Hotel 283,Dhaka,Motijheel,Biryani & Kebab,Premium,4.7,2023-10-14
R0284,Sylheti Corner,Dhaka,Gulshan,Burger,Standard,4.4,2022-08-12
R0285,Star Hut 285,Chittagong,Khulshi,Bangladeshi,Standard,4.2,2022-11-06
R0286,Dhaka Dhaba,Chittagong,Agrabad,Chinese,Standard,3.6,2023-09-29
R0287,Silver Dhaba,Sylhet,Zindabazar,Fast Food,Budget,3.4,2024-03-19
R0288,Kacchi Cafe,Dhaka,Khilgaon,Desserts,Budget,3.6,2024-02-12
R0289,Nawabi Kitchen 289,Dhaka,Bashundhara,Biryani & Kebab,Standard,4.7,2022-11-08
R0290,Star Bhai,Khulna,Daulatpur,Biryani & Kebab,Standard,3.9,2023-12-04
R0291,Spicy Kitchen 291,Chittagong,GEC Circle,Fast Food,Standard,3.9,2022-07-11
R0292,Royal House 292,Sylhet,Amberkhana,Indian,Standard,3.9,2024-06-10
R0293,Silver Kitchen 293,Dhaka,Gulshan,Indian,Budget,3.0,2023-08-13
R0294,Tasty Express 294,Sylhet,Subid Bazar,Fast Food,Premium,4.0,2023-05-06
R0295,Dhaka Biryani 295,Dhaka,Khilgaon,Bangladeshi,Premium,3.7,2023-06-09
R0296,Golden Diner,Sylhet,Uposhohor,Bangladeshi,Standard,4.4,2024-06-27
